Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Monthly;2019;SEP;;Electronic & Electric Devices;Sales;1032223.74872999;2019-09-01;SEP 2019;Electronic & Electric Devices :  Sales
Monthly;2019;JAN;;Furniture;Number of Transactions;1235.206;2019-01-01;JAN 2019;Furniture :  Number of Transactions
Monthly;2019;MAY;;Furniture;Number of Transactions;1671.032;2019-05-01;MAY 2019;Furniture :  Number of Transactions
Monthly;2019;DEC;;Furniture;Number of Transactions;2034.676;2019-12-01;DEC 2019;Furniture :  Number of Transactions
Monthly;2019;FEB;;Furniture;Sales;736377.748429992;2019-02-01;FEB 2019;Furniture :  Sales
Monthly;2019;MAR;;Furniture;Sales;967104.968079988;2019-03-01;MAR 2019;Furniture :  Sales
Monthly;2019;APR;;Furniture;Sales;1061816.08602998;2019-04-01;APR 2019;Furniture :  Sales
Monthly;2019;NOV;;Furniture;Sales;1054961.40603999;2019-11-01;NOV 2019;Furniture :  Sales
Monthly;2019;JAN;;Construction & Building Materials;Number of Transactions;1023.415;2019-01-01;JAN 2019;Construction & Building Materials :  Number of Transactions
Monthly;2019;MAY;;Construction & Building Materials;Number of Transactions;1194.623;2019-05-01;MAY 2019;Construction & Building Materials :  Number of Transactions
Monthly;2019;OCT;;Construction & Building Materials;Number of Transactions;1535.411;2019-10-01;OCT 2019;Construction & Building Materials :  Number of Transactions
Monthly;2019;APR;;Construction & Building Materials;Sales;1202743.62949999;2019-04-01;APR 2019;Construction & Building Materials :  Sales
Monthly;2019;OCT;;Construction & Building Materials;Sales;1209676.60039998;2019-10-01;OCT 2019;Construction & Building Materials :  Sales
Monthly;2019;DEC;;Construction & Building Materials;Sales;1410387.21224999;2019-12-01;DEC 2019;Construction & Building Materials :  Sales
Monthly;2019;JAN;;Jewelry;Number of Transactions;624.753;2019-01-01;JAN 2019;Jewelry :  Number of Transactions
Monthly;2019;AUG;;Jewelry;Number of Transactions;767.98;2019-08-01;AUG 2019;Jewelry :  Number of Transactions
Monthly;2019;MAR;;Jewelry;Sales;1189577.64257998;2019-03-01;MAR 2019;Jewelry :  Sales
Monthly;2019;MAY;;Jewelry;Sales;1733235.107;2019-05-01;MAY 2019;Jewelry :  Sales
Monthly;2019;JAN;;Telecommunication;Number of Transactions;480.769;2019-01-01;JAN 2019;Telecommunication :  Number of Transactions
Monthly;2019;MAR;;Telecommunication;Number of Transactions;516.013;2019-03-01;MAR 2019;Telecommunication :  Number of Transactions
Monthly;2019;JUL;;Telecommunication;Number of Transactions;551.051;2019-07-01;JUL 2019;Telecommunication :  Number of Transactions
Monthly;2019;JUN;;Telecommunication;Sales;139261.66786;2019-06-01;JUN 2019;Telecommunication :  Sales
Monthly;2019;AUG;;Telecommunication;Sales;138939.71853;2019-08-01;AUG 2019;Telecommunication :  Sales
Monthly;2019;OCT;;Telecommunication;Sales;195767.87939;2019-10-01;OCT 2019;Telecommunication :  Sales
Monthly;2019;NOV;;Telecommunication;Sales;155886.829830001;2019-11-01;NOV 2019;Telecommunication :  Sales
Monthly;2019;OCT;;Education;Sales;491252.675739997;2019-10-01;OCT 2019;Education :  Sales
Monthly;2019;JAN;;Public Utilities;Number of Transactions;846.109;2019-01-01;JAN 2019;Public Utilities :  Number of Transactions
Monthly;2019;FEB;;Public Utilities;Number of Transactions;861.438;2019-02-01;FEB 2019;Public Utilities :  Number of Transactions
Monthly;2019;OCT;;Public Utilities;Number of Transactions;2261.268;2019-10-01;OCT 2019;Public Utilities :  Number of Transactions
Monthly;2019;JAN;;Public Utilities;Sales;247940.16429;2019-01-01;JAN 2019;Public Utilities :  Sales
Monthly;2019;JUL;;Public Utilities;Sales;314884.808319997;2019-07-01;JUL 2019;Public Utilities :  Sales
Monthly;2019;OCT;;Public Utilities;Sales;335497.149989999;2019-10-01;OCT 2019;Public Utilities :  Sales
Monthly;2019;NOV;;Public Utilities;Sales;309679.510859999;2019-11-01;NOV 2019;Public Utilities :  Sales
Monthly;2019;JAN;;Others;Number of Transactions;13033.703;2019-01-01;JAN 2019;Others :  Number of Transactions
Monthly;2019;JUL;;Others;Number of Transactions;13634.697;2019-07-01;JUL 2019;Others :  Number of Transactions
Monthly;2019;OCT;;Others;Number of Transactions;23518.197;2019-10-01;OCT 2019;Others :  Number of Transactions
Monthly;2019;OCT;;Others;Sales;3227660.17228261;2019-10-01;OCT 2019;Others :  Sales
Monthly;2019;FEB;;Total;Number of Transactions;98994.794;2019-02-01;FEB 2019;Total :  Number of Transactions
Monthly;2019;APR;;Total;Number of Transactions;121526.117;2019-04-01;APR 2019;Total :  Number of Transactions
Monthly;2019;NOV;;Total;Number of Transactions;170308.609;2019-11-01;NOV 2019;Total :  Number of Transactions
Monthly;2019;JAN;;Total;Sales;21381143.87;2019-01-01;JAN 2019;Total :  Sales
Monthly;2019;JUL;;Total;Sales;23537532.8470805;2019-07-01;JUL 2019;Total :  Sales
Monthly;2019;DEC;;Total;Sales;27931981.2499813;2019-12-01;DEC 2019;Total :  Sales
Annually;2018;;;Transportation;Number of Transactions;19576.163;2018-01-01;2018;Transportation :  Number of Transactions
Annually;2018;;;Health;Sales;21575960.82341;2018-01-01;2018;Health :  Sales
Annually;2018;;;Restaurants & Café;Number of Transactions;260115.393;2018-01-01;2018;Restaurants & Café :  Number of Transactions
Annually;2018;;;Hotels;Sales;8346169.32703994;2018-01-01;2018;Hotels :  Sales
Annually;2018;;;Recreation and Culture;Number of Transactions;32488.337;2018-01-01;2018;Recreation and Culture :  Number of Transactions
