Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Monthly;2025;JUL;;Other Activities;166504.07818728;JUL 2025;2025-07-01
Monthly;2025;FEB;;Total;3042981.42733604;FEB 2025;2025-02-01
Monthly;2025;MAR;;Total;3101961.24432631;MAR 2025;2025-03-01
Monthly;2025;DEC;;Total;3296176.05012027;DEC 2025;2025-12-01
Monthly;2025;FEB;;Transportation and Storage;57333.969173;FEB 2025;2025-02-01
Monthly;2025;APR;;Transportation and Storage;67548.667206;APR 2025;2025-04-01
Monthly;2025;MAY;;Transportation and Storage;68372.66964944;MAY 2025;2025-05-01
Monthly;2025;OCT;;Accommodation and Food Service Activities;58638.2247608456;OCT 2025;2025-10-01
Monthly;2025;NOV;;Accommodation and Food Service Activities;58695.1258733575;NOV 2025;2025-11-01
Monthly;2025;FEB;;Information and Communication;25322.01338286;FEB 2025;2025-02-01
Monthly;2025;APR;;Information and Communication;27258.15866886;APR 2025;2025-04-01
Monthly;2025;AUG;;Information and Communication;28820.46595487;AUG 2025;2025-08-01
Monthly;2025;OCT;;Information and Communication;30123.82295487;OCT 2025;2025-10-01
Monthly;2025;NOV;;Information and Communication;31063.0271858636;NOV 2025;2025-11-01
Annually;2025;;;Transportation and Storage;71975.4039785;2025;2025-01-01
Quarterly;2025;;Q4;Electricity, Gas and Water Supplies;217563.739556541;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Wholesale and Retail Trade;212790.641261;Q1 2025;2025-01-01
Quarterly;2025;;Q4;Wholesale and Retail Trade;214811.578375331;Q4 2025;2025-10-01
Quarterly;2025;;Q4;Accommodation and Food Service Activities;57032.8582643769;Q4 2025;2025-10-01
Quarterly;2025;;Q2;Information and Communication;28514.03895487;Q2 2025;2025-04-01
Quarterly;2025;;Q3;Professional, Scientific and Technical Activities;13855.919;Q3 2025;2025-07-01
Quarterly;2025;;Q2;Education;8396.841;Q2 2025;2025-04-01
Quarterly;2025;;Q2;Human Health and Social Work Activities;26929.207759;Q2 2025;2025-04-01
Quarterly;2025;;Q4;Human Health and Social Work Activities;29149.9416644377;Q4 2025;2025-10-01
Quarterly;2025;;Q4;Individuals' Loans;1434023.63059284;Q4 2025;2025-10-01
Quarterly;2025;;Q4;Other Activities;173785.98777154;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Total;3101961.24432631;Q1 2025;2025-01-01
Monthly;2025;MAR;;Agriculture, Forestry and Fishing;10079.184119;MAR 2025;2025-03-01
Monthly;2025;JUN;;Agriculture, Forestry and Fishing;11371.83;JUN 2025;2025-06-01
Monthly;2025;JUL;;Agriculture, Forestry and Fishing;14394.09098008;JUL 2025;2025-07-01
Monthly;2025;DEC;;Agriculture, Forestry and Fishing;14298.366778;DEC 2025;2025-12-01
Monthly;2025;JUN;;Mining and Quarrying;48587.096;JUN 2025;2025-06-01
Monthly;2025;SEP;;Mining and Quarrying;48633.854;SEP 2025;2025-09-01
Monthly;2025;JAN;;Manufacturing;186383.593514;JAN 2025;2025-01-01
Monthly;2025;SEP;;Manufacturing;198155.50134678;SEP 2025;2025-09-01
Monthly;2025;FEB;;Electricity, Gas and Water Supplies;177456.021;FEB 2025;2025-02-01
Monthly;2025;JUN;;Electricity, Gas and Water Supplies;199313.81867282;JUN 2025;2025-06-01
Monthly;2025;AUG;;Electricity, Gas and Water Supplies;209201.4059512;AUG 2025;2025-08-01
Monthly;2025;JUL;;Construction;142729.32814031;JUL 2025;2025-07-01
Monthly;2025;DEC;;Construction;139656.056401635;DEC 2025;2025-12-01
Monthly;2025;APR;;Wholesale and Retail Trade;212394.629818;APR 2025;2025-04-01
Monthly;2025;JAN;;Transportation and Storage;55179.800677;JAN 2025;2025-01-01
Monthly;2025;SEP;;Accommodation and Food Service Activities;59566.518539094;SEP 2025;2025-09-01
Monthly;2025;MAY;;Information and Communication;29061.86003387;MAY 2025;2025-05-01
Monthly;2025;JUL;;Information and Communication;28729.56431232;JUL 2025;2025-07-01
Monthly;2025;JAN;;Financial and Insurance Activities;162753.415057;JAN 2025;2025-01-01
Monthly;2025;MAY;;Financial and Insurance Activities;160073.78232917;MAY 2025;2025-05-01
Monthly;2025;JUN;;Financial and Insurance Activities;167456.788571;JUN 2025;2025-06-01
Monthly;2025;DEC;;Financial and Insurance Activities;180028.406487079;DEC 2025;2025-12-01
Monthly;2025;NOV;;Real Estate Activities;382422.052243083;NOV 2025;2025-11-01
Monthly;2025;JAN;;Professional, Scientific and Technical Activities;9283.167769;JAN 2025;2025-01-01
Monthly;2025;FEB;;Professional, Scientific and Technical Activities;9487.734;FEB 2025;2025-02-01
Monthly;2025;APR;;Professional, Scientific and Technical Activities;8959.845;APR 2025;2025-04-01
Monthly;2025;OCT;;Professional, Scientific and Technical Activities;10584.654;OCT 2025;2025-10-01
Monthly;2025;FEB;;Administrative and Support Service Activities;68683.12;FEB 2025;2025-02-01
Monthly;2025;JUN;;Administrative and Support Service Activities;68976.515;JUN 2025;2025-06-01
Monthly;2025;DEC;;Administrative and Support Service Activities;73170.205;DEC 2025;2025-12-01
Monthly;2025;JAN;;Education;8664.105968;JAN 2025;2025-01-01
Monthly;2025;MAR;;Education;9349.729;MAR 2025;2025-03-01
Monthly;2025;JUN;;Education;8396.841;JUN 2025;2025-06-01
Monthly;2025;SEP;;Education;7857.34;SEP 2025;2025-09-01
Monthly;2025;JUN;;Human Health and Social Work Activities;26929.207759;JUN 2025;2025-06-01
Monthly;2025;AUG;;Human Health and Social Work Activities;26551.738086;AUG 2025;2025-08-01
Monthly;2025;JAN;;Individuals' Loans;1374686.01506543;JAN 2025;2025-01-01
Monthly;2025;OCT;;Individuals' Loans;1427491.92970113;OCT 2025;2025-10-01
Monthly;2025;FEB;;Other Activities;157672.89464488;FEB 2025;2025-02-01
Monthly;2025;MAR;;Other Activities;156296.48253224;MAR 2025;2025-03-01
Monthly;2025;AUG;;Other Activities;164997.18684489;AUG 2025;2025-08-01
Monthly;2025;NOV;;Other Activities;169151.96079145;NOV 2025;2025-11-01
Monthly;2025;DEC;;Other Activities;173785.98777154;DEC 2025;2025-12-01
Monthly;2025;JAN;;Total;3005945.83;JAN 2025;2025-01-01
Monthly;2025;JUN;;Total;3186271.07669674;JUN 2025;2025-06-01
Monthly;2025;AUG;;Total;3237548.78517748;AUG 2025;2025-08-01
Annually;2025;;;Agriculture, Forestry and Fishing;14298.366778;2025;2025-01-01
Annually;2025;;;Manufacturing;193599.458640416;2025;2025-01-01
Annually;2025;;;Accommodation and Food Service Activities;57032.8582643769;2025;2025-01-01
Annually;2025;;;Information and Communication;31022.64995486;2025;2025-01-01
Annually;2025;;;Individuals' Loans;1434023.63059284;2025;2025-01-01
Annually;2025;;;Other Activities;173785.98777154;2025;2025-01-01
Annually;2025;;;Total;3296176.05012027;2025;2025-01-01
Quarterly;2025;;Q2;Agriculture, Forestry and Fishing;11371.83;Q2 2025;2025-04-01
Quarterly;2025;;Q1;Mining and Quarrying;52629.751;Q1 2025;2025-01-01
Quarterly;2025;;Q2;Wholesale and Retail Trade;213086.45087356;Q2 2025;2025-04-01
Quarterly;2025;;Q1;Transportation and Storage;60315.269538;Q1 2025;2025-01-01
Quarterly;2025;;Q3;Information and Communication;29774.58295486;Q3 2025;2025-07-01
Quarterly;2025;;Q4;Financial and Insurance Activities;180028.406487079;Q4 2025;2025-10-01
Quarterly;2025;;Q3;Real Estate Activities;377669.761380509;Q3 2025;2025-07-01
Quarterly;2025;;Q4;Real Estate Activities;393479.141654706;Q4 2025;2025-10-01
Quarterly;2025;;Q3;Education;7857.34;Q3 2025;2025-07-01
Quarterly;2025;;Q4;Education;7748.714;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Human Health and Social Work Activities;23848.32756;Q1 2025;2025-01-01
Quarterly;2025;;Q2;Individuals' Loans;1398808.08862626;Q2 2025;2025-04-01
Monthly;2025;MAY;;Manufacturing;191192.3072491;MAY 2025;2025-05-01
Monthly;2025;JUN;;Manufacturing;192247.4759541;JUN 2025;2025-06-01
Monthly;2025;DEC;;Manufacturing;193599.458640416;DEC 2025;2025-12-01
Monthly;2025;JUL;;Electricity, Gas and Water Supplies;204187.200353014;JUL 2025;2025-07-01
Monthly;2025;NOV;;Electricity, Gas and Water Supplies;214518.55125997;NOV 2025;2025-11-01
Monthly;2025;JAN;;Wholesale and Retail Trade;203971.058478;JAN 2025;2025-01-01
Monthly;2025;FEB;;Wholesale and Retail Trade;206142.562679;FEB 2025;2025-02-01
Monthly;2025;DEC;;Wholesale and Retail Trade;214811.578375331;DEC 2025;2025-12-01
Monthly;2025;OCT;;Transportation and Storage;71070.03544582;OCT 2025;2025-10-01
Monthly;2025;AUG;;Accommodation and Food Service Activities;57117.281;AUG 2025;2025-08-01
Monthly;2025;DEC;;Accommodation and Food Service Activities;57032.8582643769;DEC 2025;2025-12-01
Monthly;2025;SEP;;Information and Communication;29774.58295486;SEP 2025;2025-09-01
Monthly;2025;APR;;Financial and Insurance Activities;159847.34253;APR 2025;2025-04-01
Monthly;2025;OCT;;Financial and Insurance Activities;185393.475116664;OCT 2025;2025-10-01
Monthly;2025;NOV;;Financial and Insurance Activities;180833.810696961;NOV 2025;2025-11-01
Monthly;2025;JUL;;Real Estate Activities;377559.203001229;JUL 2025;2025-07-01
Monthly;2025;DEC;;Real Estate Activities;393479.141654706;DEC 2025;2025-12-01
Monthly;2025;JUN;;Professional, Scientific and Technical Activities;11183.487;JUN 2025;2025-06-01
Monthly;2025;JUL;;Professional, Scientific and Technical Activities;11051.81586971;JUL 2025;2025-07-01
Monthly;2025;MAR;;Administrative and Support Service Activities;68671.918;MAR 2025;2025-03-01
Monthly;2025;MAY;;Administrative and Support Service Activities;67228.613;MAY 2025;2025-05-01
Monthly;2025;SEP;;Administrative and Support Service Activities;70863.138;SEP 2025;2025-09-01
Monthly;2025;AUG;;Education;8230.864;AUG 2025;2025-08-01
Monthly;2025;NOV;;Education;7794.979;NOV 2025;2025-11-01
Monthly;2025;MAR;;Human Health and Social Work Activities;23848.32756;MAR 2025;2025-03-01
Monthly;2025;JUL;;Human Health and Social Work Activities;26917.1051080563;JUL 2025;2025-07-01
Monthly;2025;AUG;;Individuals' Loans;1417406.66913002;AUG 2025;2025-08-01
Monthly;2025;DEC;;Individuals' Loans;1434023.63059284;DEC 2025;2025-12-01
Monthly;2025;MAY;;Total;3167558.28041778;MAY 2025;2025-05-01
Monthly;2025;SEP;;Total;3262151.5161446;SEP 2025;2025-09-01
Monthly;2025;OCT;;Total;3275115.73183088;OCT 2025;2025-10-01
Monthly;2025;JUN;;Wholesale and Retail Trade;213086.45087356;JUN 2025;2025-06-01
Monthly;2025;SEP;;Wholesale and Retail Trade;216238.619803253;SEP 2025;2025-09-01
Annually;2025;;;Electricity, Gas and Water Supplies;217563.739556541;2025;2025-01-01
Annually;2025;;;Construction;139656.056401635;2025;2025-01-01
Annually;2025;;;Wholesale and Retail Trade;214811.578375331;2025;2025-01-01
Annually;2025;;;Financial and Insurance Activities;180028.406487079;2025;2025-01-01
Annually;2025;;;Administrative and Support Service Activities;73170.205;2025;2025-01-01
Quarterly;2025;;Q3;Agriculture, Forestry and Fishing;14320.861;Q3 2025;2025-07-01
Quarterly;2025;;Q3;Mining and Quarrying;48633.854;Q3 2025;2025-07-01
Quarterly;2025;;Q2;Manufacturing;192247.4759541;Q2 2025;2025-04-01
Quarterly;2025;;Q2;Electricity, Gas and Water Supplies;199313.81867282;Q2 2025;2025-04-01
Quarterly;2025;;Q2;Construction;142145.47116539;Q2 2025;2025-04-01
Quarterly;2025;;Q3;Construction;145090.33712759;Q3 2025;2025-07-01
Quarterly;2025;;Q4;Construction;139656.056401635;Q4 2025;2025-10-01
Quarterly;2025;;Q2;Transportation and Storage;69478.32278427;Q2 2025;2025-04-01
Quarterly;2025;;Q1;Accommodation and Food Service Activities;45313.262;Q1 2025;2025-01-01
Quarterly;2025;;Q2;Accommodation and Food Service Activities;54304.824;Q2 2025;2025-04-01
Quarterly;2025;;Q3;Accommodation and Food Service Activities;59566.518539094;Q3 2025;2025-07-01
Quarterly;2025;;Q2;Financial and Insurance Activities;167456.788571;Q2 2025;2025-04-01
Quarterly;2025;;Q1;Professional, Scientific and Technical Activities;9620.987;Q1 2025;2025-01-01
Quarterly;2025;;Q2;Administrative and Support Service Activities;68976.515;Q2 2025;2025-04-01
Quarterly;2025;;Q3;Total;3262151.5161446;Q3 2025;2025-07-01
Monthly;2025;JAN;;Agriculture, Forestry and Fishing;8500.387551;JAN 2025;2025-01-01
Monthly;2025;AUG;;Agriculture, Forestry and Fishing;14276.125;AUG 2025;2025-08-01
Monthly;2025;APR;;Mining and Quarrying;47967.359;APR 2025;2025-04-01
Monthly;2025;NOV;;Mining and Quarrying;48379.789;NOV 2025;2025-11-01
Monthly;2025;MAR;;Manufacturing;189177.978552;MAR 2025;2025-03-01
Monthly;2025;OCT;;Manufacturing;201577.50878472;OCT 2025;2025-10-01
Monthly;2025;OCT;;Electricity, Gas and Water Supplies;213384.774424381;OCT 2025;2025-10-01
Monthly;2025;DEC;;Electricity, Gas and Water Supplies;217563.739556541;DEC 2025;2025-12-01
Monthly;2025;JAN;;Construction;125638.715746;JAN 2025;2025-01-01
Monthly;2025;FEB;;Construction;129904.114242;FEB 2025;2025-02-01
Monthly;2025;SEP;;Construction;145090.33712759;SEP 2025;2025-09-01
Monthly;2025;MAR;;Wholesale and Retail Trade;212790.641261;MAR 2025;2025-03-01
Monthly;2025;JUL;;Wholesale and Retail Trade;212871.748450522;JUL 2025;2025-07-01
Monthly;2025;MAR;;Transportation and Storage;60315.269538;MAR 2025;2025-03-01
Monthly;2025;JUN;;Transportation and Storage;69478.32278427;JUN 2025;2025-06-01
Monthly;2025;AUG;;Transportation and Storage;67240.30663172;AUG 2025;2025-08-01
Monthly;2025;SEP;;Transportation and Storage;70399.17241203;SEP 2025;2025-09-01
Monthly;2025;MAY;;Accommodation and Food Service Activities;47680.357;MAY 2025;2025-05-01
Monthly;2025;JUN;;Accommodation and Food Service Activities;54304.824;JUN 2025;2025-06-01
Monthly;2025;JUL;;Accommodation and Food Service Activities;59086.9070673782;JUL 2025;2025-07-01
Monthly;2025;JUN;;Information and Communication;28514.03895487;JUN 2025;2025-06-01
Monthly;2025;DEC;;Information and Communication;31022.64995486;DEC 2025;2025-12-01
Monthly;2025;JAN;;Real Estate Activities;333750.620885;JAN 2025;2025-01-01
Monthly;2025;MAY;;Real Estate Activities;374275.90630244;MAY 2025;2025-05-01
Monthly;2025;JUN;;Real Estate Activities;383884.05199963;JUN 2025;2025-06-01
Monthly;2025;SEP;;Real Estate Activities;377669.761380509;SEP 2025;2025-09-01
Monthly;2025;MAR;;Professional, Scientific and Technical Activities;9620.987;MAR 2025;2025-03-01
Monthly;2025;AUG;;Professional, Scientific and Technical Activities;11212.579;AUG 2025;2025-08-01
Monthly;2025;SEP;;Professional, Scientific and Technical Activities;13855.919;SEP 2025;2025-09-01
Monthly;2025;APR;;Administrative and Support Service Activities;68051.686;APR 2025;2025-04-01
Monthly;2025;JUL;;Administrative and Support Service Activities;70546.30413364;JUL 2025;2025-07-01
Monthly;2025;NOV;;Administrative and Support Service Activities;73586.871;NOV 2025;2025-11-01
Monthly;2025;MAY;;Education;9578.226;MAY 2025;2025-05-01
Monthly;2025;JUL;;Education;8454.27085304263;JUL 2025;2025-07-01
Monthly;2025;FEB;;Human Health and Social Work Activities;22183.875424;FEB 2025;2025-02-01
Monthly;2025;APR;;Human Health and Social Work Activities;24876.469235;APR 2025;2025-04-01
Monthly;2025;NOV;;Human Health and Social Work Activities;27159.9094873358;NOV 2025;2025-11-01
Monthly;2025;DEC;;Human Health and Social Work Activities;29149.9416644377;DEC 2025;2025-12-01
Monthly;2025;JUL;;Individuals' Loans;1407556.93030093;JUL 2025;2025-07-01
Monthly;2025;NOV;;Individuals' Loans;1430830.1100068;NOV 2025;2025-11-01
Monthly;2025;SEP;;Other Activities;162713.16565392;SEP 2025;2025-09-01
Monthly;2025;OCT;;Other Activities;164546.72415616;OCT 2025;2025-10-01
Monthly;2025;APR;;Total;3126381.22883294;APR 2025;2025-04-01
Monthly;2025;JUL;;Total;3215763.63805504;JUL 2025;2025-07-01
Annually;2025;;;Mining and Quarrying;49759.069;2025;2025-01-01
Annually;2025;;;Real Estate Activities;393479.141654706;2025;2025-01-01
Annually;2025;;;Professional, Scientific and Technical Activities;15070.842;2025;2025-01-01
Annually;2025;;;Education;7748.714;2025;2025-01-01
Quarterly;2025;;Q1;Agriculture, Forestry and Fishing;10079.184119;Q1 2025;2025-01-01
Quarterly;2025;;Q4;Agriculture, Forestry and Fishing;14298.366778;Q4 2025;2025-10-01
Quarterly;2025;;Q2;Mining and Quarrying;48587.096;Q2 2025;2025-04-01
Quarterly;2025;;Q4;Mining and Quarrying;49759.069;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Manufacturing;189177.978552;Q1 2025;2025-01-01
Quarterly;2025;;Q3;Manufacturing;198155.50134678;Q3 2025;2025-07-01
Quarterly;2025;;Q3;Electricity, Gas and Water Supplies;210460.575214277;Q3 2025;2025-07-01
Quarterly;2025;;Q3;Transportation and Storage;70399.17241203;Q3 2025;2025-07-01
Quarterly;2025;;Q4;Transportation and Storage;71975.4039785;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Information and Communication;25204.93895486;Q1 2025;2025-01-01
Quarterly;2025;;Q4;Information and Communication;31022.64995486;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Real Estate Activities;374484.48465537;Q1 2025;2025-01-01
Quarterly;2025;;Q2;Real Estate Activities;383884.05199963;Q2 2025;2025-04-01
Quarterly;2025;;Q2;Professional, Scientific and Technical Activities;11183.487;Q2 2025;2025-04-01
Quarterly;2025;;Q4;Professional, Scientific and Technical Activities;15070.842;Q4 2025;2025-10-01
Quarterly;2025;;Q4;Administrative and Support Service Activities;73170.205;Q4 2025;2025-10-01
Quarterly;2025;;Q1;Individuals' Loans;1390066.48935084;Q1 2025;2025-01-01
Quarterly;2025;;Q1;Other Activities;156296.48253224;Q1 2025;2025-01-01
Quarterly;2025;;Q2;Other Activities;161586.76833584;Q2 2025;2025-04-01
Quarterly;2025;;Q2;Total;3186271.07669674;Q2 2025;2025-04-01
Quarterly;2025;;Q4;Total;3296176.05012027;Q4 2025;2025-10-01
Monthly;2025;APR;;Agriculture, Forestry and Fishing;10301.76856;APR 2025;2025-04-01
Monthly;2025;NOV;;Agriculture, Forestry and Fishing;14284.67;NOV 2025;2025-11-01
Monthly;2025;FEB;;Mining and Quarrying;51035.366;FEB 2025;2025-02-01
Monthly;2025;AUG;;Mining and Quarrying;48305.225;AUG 2025;2025-08-01
Monthly;2025;APR;;Manufacturing;187886.556386;APR 2025;2025-04-01
Monthly;2025;AUG;;Manufacturing;200104.79837623;AUG 2025;2025-08-01
Monthly;2025;NOV;;Manufacturing;198469.80005693;NOV 2025;2025-11-01
Monthly;2025;MAR;;Electricity, Gas and Water Supplies;181430.860977;MAR 2025;2025-03-01
Monthly;2025;APR;;Electricity, Gas and Water Supplies;189312.681921;APR 2025;2025-04-01
Monthly;2025;APR;;Construction;133531.297867715;APR 2025;2025-04-01
Monthly;2025;JUN;;Construction;142145.47116539;JUN 2025;2025-06-01
Monthly;2025;AUG;;Construction;140575.63978303;AUG 2025;2025-08-01
Monthly;2025;NOV;;Construction;147826.184781783;NOV 2025;2025-11-01
Monthly;2025;MAY;;Wholesale and Retail Trade;214036.13470759;MAY 2025;2025-05-01
Monthly;2025;AUG;;Wholesale and Retail Trade;213567.78536636;AUG 2025;2025-08-01
Monthly;2025;OCT;;Wholesale and Retail Trade;215823.636559952;OCT 2025;2025-10-01
Monthly;2025;NOV;;Wholesale and Retail Trade;213191.60865359;NOV 2025;2025-11-01
Monthly;2025;JUL;;Transportation and Storage;69082.8742786867;JUL 2025;2025-07-01
Monthly;2025;NOV;;Transportation and Storage;69801.11549195;NOV 2025;2025-11-01
Monthly;2025;JAN;;Accommodation and Food Service Activities;43043.708185;JAN 2025;2025-01-01
Monthly;2025;APR;;Accommodation and Food Service Activities;46381.054045;APR 2025;2025-04-01
Monthly;2025;JAN;;Information and Communication;25152.57099186;JAN 2025;2025-01-01
Monthly;2025;MAR;;Information and Communication;25204.93895486;MAR 2025;2025-03-01
Monthly;2025;MAR;;Financial and Insurance Activities;161233.35908;MAR 2025;2025-03-01
Monthly;2025;AUG;;Financial and Insurance Activities;181135.739678;AUG 2025;2025-08-01
Monthly;2025;FEB;;Real Estate Activities;342335.22349073;FEB 2025;2025-02-01
Monthly;2025;MAR;;Real Estate Activities;374484.48465537;MAR 2025;2025-03-01
Monthly;2025;AUG;;Real Estate Activities;378820.63937516;AUG 2025;2025-08-01
Monthly;2025;OCT;;Real Estate Activities;383605.547858968;OCT 2025;2025-10-01
Monthly;2025;MAY;;Professional, Scientific and Technical Activities;9795.245;MAY 2025;2025-05-01
Monthly;2025;NOV;;Professional, Scientific and Technical Activities;14180.439;NOV 2025;2025-11-01
Monthly;2025;JAN;;Administrative and Support Service Activities;65878.86056;JAN 2025;2025-01-01
Monthly;2025;FEB;;Education;8753.05;FEB 2025;2025-02-01
Monthly;2025;OCT;;Education;7766.099;OCT 2025;2025-10-01
Monthly;2025;MAY;;Human Health and Social Work Activities;25512.163911;MAY 2025;2025-05-01
Monthly;2025;SEP;;Human Health and Social Work Activities;26765.601003;SEP 2025;2025-09-01
Monthly;2025;MAR;;Individuals' Loans;1390066.48935084;MAR 2025;2025-03-01
Monthly;2025;APR;;Individuals' Loans;1402513.81454776;APR 2025;2025-04-01
Monthly;2025;MAY;;Other Activities;162481.26830009;MAY 2025;2025-05-01
Monthly;2025;NOV;;Total;3282190.00452907;NOV 2025;2025-11-01
Annually;2024;;;Wholesale and Retail Trade;198625.067714;2024;2024-01-01
Annually;2024;;;Transportation and Storage;54830.34827;2024;2024-01-01
Annually;2024;;;Information and Communication;25684.06672686;2024;2024-01-01
Quarterly;2024;;Q4;Mining and Quarrying;50207.201768;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Manufacturing;172785.666754;Q1 2024;2024-01-01
Quarterly;2024;;Q1;Electricity, Gas and Water Supplies;147995.476871;Q1 2024;2024-01-01
Quarterly;2024;;Q4;Electricity, Gas and Water Supplies;177175.283271;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Construction;127332.585134;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Wholesale and Retail Trade;196521.564091;Q2 2024;2024-04-01
Quarterly;2024;;Q1;Accommodation and Food Service Activities;40006.503933;Q1 2024;2024-01-01
Quarterly;2024;;Q2;Information and Communication;26614.48414186;Q2 2024;2024-04-01
Quarterly;2024;;Q3;Information and Communication;26456.57300686;Q3 2024;2024-07-01
Quarterly;2024;;Q2;Professional, Scientific and Technical Activities;9858.692633;Q2 2024;2024-04-01
Quarterly;2024;;Q1;Administrative and Support Service Activities;59709.199333;Q1 2024;2024-01-01
Quarterly;2024;;Q3;Human Health and Social Work Activities;21415.756257;Q3 2024;2024-07-01
Quarterly;2024;;Q4;Individuals' Loans;1363546.12727093;Q4 2024;2024-10-01
Quarterly;2024;;Q1;Other Activities;121176.77518827;Q1 2024;2024-01-01
Quarterly;2024;;Q3;Total;2853138.67;Q3 2024;2024-07-01
Monthly;2024;NOV;;Agriculture, Forestry and Fishing;9212.147379;NOV 2024;2024-11-01
Monthly;2024;MAY;;Mining and Quarrying;44949.256492;MAY 2024;2024-05-01
Monthly;2024;JUN;;Mining and Quarrying;48318.131195;JUN 2024;2024-06-01
Monthly;2024;SEP;;Mining and Quarrying;47183.083088;SEP 2024;2024-09-01
Monthly;2024;NOV;;Mining and Quarrying;48162.303373;NOV 2024;2024-11-01
Monthly;2024;JAN;;Manufacturing;172683.188558;JAN 2024;2024-01-01
Monthly;2024;JUN;;Manufacturing;175549.316903;JUN 2024;2024-06-01
Monthly;2024;AUG;;Manufacturing;179767.773984;AUG 2024;2024-08-01
Monthly;2024;DEC;;Manufacturing;180308.452664;DEC 2024;2024-12-01
Monthly;2024;JAN;;Electricity, Gas and Water Supplies;147182.652812;JAN 2024;2024-01-01
Monthly;2024;JUN;;Electricity, Gas and Water Supplies;158755.474287;JUN 2024;2024-06-01
Monthly;2024;MAY;;Construction;129602.026462;MAY 2024;2024-05-01
Monthly;2024;DEC;;Construction;120285.955535;DEC 2024;2024-12-01
Monthly;2024;JUL;;Wholesale and Retail Trade;199343.573385;JUL 2024;2024-07-01
Monthly;2024;NOV;;Wholesale and Retail Trade;202233.357669;NOV 2024;2024-11-01
Monthly;2024;FEB;;Transportation and Storage;47005.249423;FEB 2024;2024-02-01
Monthly;2024;JUL;;Transportation and Storage;50156.689964;JUL 2024;2024-07-01
Monthly;2024;MAY;;Accommodation and Food Service Activities;40996.021042;MAY 2024;2024-05-01
Monthly;2024;SEP;;Accommodation and Food Service Activities;41674.485087;SEP 2024;2024-09-01
Monthly;2024;DEC;;Accommodation and Food Service Activities;46041.134928;DEC 2024;2024-12-01
Monthly;2024;MAR;;Financial and Insurance Activities;116489.793539;MAR 2024;2024-03-01
Monthly;2024;JUL;;Financial and Insurance Activities;132153.594426;JUL 2024;2024-07-01
Monthly;2024;AUG;;Financial and Insurance Activities;136597.814426;AUG 2024;2024-08-01
Monthly;2024;SEP;;Financial and Insurance Activities;135991.508245;SEP 2024;2024-09-01
Monthly;2024;FEB;;Real Estate Activities;261674.713577;FEB 2024;2024-02-01
Monthly;2024;MAY;;Real Estate Activities;271830.880898;MAY 2024;2024-05-01
Monthly;2024;SEP;;Real Estate Activities;299747.949884;SEP 2024;2024-09-01
Monthly;2024;OCT;;Real Estate Activities;301805.443373;OCT 2024;2024-10-01
Monthly;2024;APR;;Professional, Scientific and Technical Activities;7836.291948;APR 2024;2024-04-01
Monthly;2024;OCT;;Professional, Scientific and Technical Activities;9332.742709;OCT 2024;2024-10-01
Monthly;2024;DEC;;Professional, Scientific and Technical Activities;9400.92406;DEC 2024;2024-12-01
Monthly;2024;JUL;;Administrative and Support Service Activities;62432.512585;JUL 2024;2024-07-01
Monthly;2024;AUG;;Administrative and Support Service Activities;62532.40733;AUG 2024;2024-08-01
Monthly;2024;OCT;;Administrative and Support Service Activities;65475.379681;OCT 2024;2024-10-01
Monthly;2024;MAR;;Education;6461.420522;MAR 2024;2024-03-01
Monthly;2024;FEB;;Human Health and Social Work Activities;20021.25122;FEB 2024;2024-02-01
Monthly;2024;JUN;;Human Health and Social Work Activities;19885.684622;JUN 2024;2024-06-01
Monthly;2024;AUG;;Human Health and Social Work Activities;20479.75895;AUG 2024;2024-08-01
Monthly;2024;OCT;;Human Health and Social Work Activities;21430.091874;OCT 2024;2024-10-01
Monthly;2024;DEC;;Human Health and Social Work Activities;22414.490506;DEC 2024;2024-12-01
Monthly;2024;MAR;;Individuals' Loans;1268354.46838358;MAR 2024;2024-03-01
Monthly;2024;APR;;Individuals' Loans;1270389.71083857;APR 2024;2024-04-01
Monthly;2024;JUN;;Individuals' Loans;1292834.31083277;JUN 2024;2024-06-01
Monthly;2024;AUG;;Individuals' Loans;1303370.59507876;AUG 2024;2024-08-01
Monthly;2024;SEP;;Individuals' Loans;1323976.27855934;SEP 2024;2024-09-01
Monthly;2024;FEB;;Other Activities;118326.72410122;FEB 2024;2024-02-01
Monthly;2024;MAY;;Other Activities;121568.93846477;MAY 2024;2024-05-01
Monthly;2024;JUN;;Other Activities;119756.07721937;JUN 2024;2024-06-01
Monthly;2024;AUG;;Total;2824779.625;AUG 2024;2024-08-01
Monthly;2024;DEC;;Total;2955550.051;DEC 2024;2024-12-01
Monthly;2024;SEP;;Transportation and Storage;51218.097524;SEP 2024;2024-09-01
